url,date,type,description,comments,state,creator
https://github.com/edzer/sfr/issues/53,2016-11-06,enhancement,st_write arguments,22,closed,Nowosad
https://github.com/edzer/sfr/issues/64,2016-11-07,enhancement,Set CRS in a pipe - idea,8,closed,Nowosad
https://github.com/mtennekes/tmap/issues/108,2017-04-07,bug,World data plotting error,4,closed,Nowosad
https://github.com/mtennekes/tmap/issues/109,2017-04-08,enhancement,Problem - temporal changes plot,7,closed,Nowosad
https://github.com/edzer/sfr/issues/306,2017-04-17,bug,Misleading warning,5,closed,Nowosad
https://github.com/ropensci/unconf17/issues/54,2017-04-23,question,"""Tidier"" raster package",16,closed,Nowosad
https://github.com/mtennekes/tmap/issues/116,2017-05-29,bug,Plots do not work in view mode if all values are NA,2,closed,Robinlovelace
https://github.com/edzer/sfr/issues/372,2017-06-02,bug,Joins between sf objects and data.frames,3,closed,Nowosad
https://github.com/edzer/sfr/issues/376,2017-06-06,bug,Additional args to FUN in st_join() don't work,6,closed,Robinlovelace
https://github.com/edzer/sfr/issues/378,2017-06-08,bug,tidyr::unite error,3,closed,Nowosad
https://github.com/edzer/sfr/issues/379,2017-06-09,bug,Behaviour of the `head` function,4,closed,Nowosad
https://github.com/tidyverse/dplyr/issues/2833,2017-06-02,bug,Joins between data.frames and sf objects,3,closed,Nowosad
https://github.com/edzer/sfr/issues/383,2017-06-14,question,Simple features types,2,closed,Nowosad
https://github.com/edzer/sfr/issues/382,2017-06-13,bug,Combine polygons by attribute,6,closed,Nowosad
https://github.com/edzer/sfr/issues/396,2017-06-23,bug,Graticules in `geom_sf`,12,closed,Nowosad
https://github.com/tidyverse/ggplot2/issues/2200,2017-07-12,bug,`geom_sf()` return values of latitude and longitude for data in a projected coordinate system,8,closed,Nowosad
https://github.com/tidyverse/ggplot2/issues/2199,2017-07-11,bug,Errors when plotting sfs (without crs - may be issue),6,closed,Robinlovelace
https://github.com/r-spatial/sf/issues/429,2017-07-18,issue,User friendliness of st_join() + aggregate/summarise,27,closed,Robinlovelace
https://github.com/oswaldosantos/ggsn/issues/16,2017-06-15,enhancement,Add a support for `sf` objects,6,closed,Nowosad
https://github.com/r-spatial/sf/issues/454,2017-08-03,bug,st_join with st_relate doesn't work,1,closed,Nowosad
https://github.com/r-spatial/sf/issues/452,2017-08-03,bug,aggregate.sf does not return an object with the same length as by,5,closed,Robinlovelace
https://github.com/jannes-m/RQGIS/issues/70,2017-05-29,enhancement,Function idea - a qgis style file creator (.qml),4,closed,Nowosad
https://github.com/ropenscilabs/skimr/issues/88,2017-06-07,enhancement,skim of `sf` objects,25,closed,Nowosad
https://github.com/r-spatial/lwgeom/issues/6,2017-11-16,bug,Problem with st_transform_proj,3,closed,Nowosad
https://github.com/ateucher/rmapshaper/issues/64,2017-11-22,bug,Error related to st_read,5,closed,Robinlovelace
https://github.com/hunzikp/velox/issues/7,2017-07-31,enhancement,Add a support for the `sf` objects,1,closed,Nowosad
https://github.com/ropensci/osmdata/issues/104,2017-11-07,bug,Allow getbb to return an sf_polygon,1,closed,Robinlovelace
https://github.com/r-spatial/sf/issues/576,2017-12-01,bug,tidyr::unite - wrong column name,0,closed,Nowosad
https://github.com/rocker-org/geospatial/issues/6,2017-12-04,enhancement,Add tmap,4,closed,Robinlovelace
https://github.com/r-spatial/sf/issues/581,2017-12-03,bug,Simplified polygons plotting,1,closed,Nowosad
https://github.com/mtennekes/tmap/issues/159,2017-12-17,bug,Polygons plotting error,2,closed,Nowosad
https://github.com/ropensci/osmdata/issues/117,2017-12-18,bug,"getbb fails with unhelpful error message for Bristol, Connecticut",4,closed,Robinlovelace
https://github.com/r-spatial/sf/issues/622,2018-01-21,bug,objects do not print with new geometry column names,11,closed,Robinlovelace
https://github.com/mtennekes/tmap/issues/170,2018-02-10,bug,tmap 2.0: tm_polygons error,0,closed,Nowosad
https://github.com/mtennekes/tmap/issues/176,2018-02-22,bug,Mix of raster and points results in error - tmap 2.0,0,closed,Nowosad
https://github.com/mtennekes/tmap/issues/177,2018-02-26,bug,Plotting error - tmap 2.0,5,closed,Nowosad
https://github.com/r-spatial/sf/issues/685,2018-03-23,bug,sf 0.6-1 (CRAN): plot error,6,closed,Nowosad
https://github.com/mtennekes/tmap/issues/171,2018-02-11,enhancement,Function's names - idea,5,closed,Nowosad
https://github.com/mtennekes/tmap/issues/178,2018-03-01,enhancement,Set default tmap options for duration of session,12,open,Robinlovelace
https://github.com/mtennekes/tmap/issues/184,2018-04-09,bug,tm_borders fails when in view mode,0,closed,Robinlovelace
https://github.com/ropenscilabs/rnaturalearth/issues/16,2017-04-01,enhancement,returnclass='sf' as default,0,open,Nowosad
https://github.com/mtennekes/tmap/issues/126,2017-07-12,bug,Problem with plots of the multipoint type,5,open,Nowosad
https://github.com/r-spatial/mapedit/issues/63,2017-08-22,bug,mapedit does not seem to save the end result after editing,19,open,Robinlovelace
https://github.com/jannes-m/RQGIS/issues/99,2018-03-17,bug,v.rast.stats doesn't add a new column,2,open,Nowosad
https://r-forge.r-project.org/tracker/index.php?func=detail&aid=6570&group_id=294&atid=1189,2018-03-18,bug,Extract values from raster objects using lines doesn't return data.frames,NA,NA,NA
https://github.com/mtennekes/tmap/issues/181,2018-03-29,enhancement,The default value of `auto.palette.mapping` - question,4,open,Nowosad
https://github.com/sjewo/cartogram/issues/8,2018-04-03,enhancement,The **sf** support,3,open,Nowosad
https://github.com/ateucher/rmapshaper/issues/75,2018-04-05,bug,rmapshaper does not work when a column has the `units` class,1,open,Nowosad
https://github.com/mtennekes/tmap/issues/183,2018-04-07,enhancement,Question - bivariate map,5,open,Nowosad
http://spatial.nhh.no/misc/?C=M;O=D,2017-05-01,Encouraged the publication and dissemination of previously lost slides on the R/GIS 'bridge',documentation,NA,NA,NA
https://github.com/r-spatial/sf/pull/415,2017-07-12,pr,accepted to **sf** improving documentation of units,NA,NA,NA
NA,2017-07-24,PR,improve documentation of aggregate.sf **sf**,NA,NA,NA
https://github.com/r-spatial/sf/pull/445,2017-07-12,pr,accepted to **sf** exporting and documenting `as_Spatial()`,NA,NA,NA
https://github.com/r-spatial/sf/pull/453,2017-08-28,pr,accepted to **sf** updating the behaviour of `aggregate.sf`,NA,NA,NA
https://github.com/r-spatial/sf/issues/470,2017-08-25,question,writing speed sqlite and GPKG compared to shapefile,28,closed,mkschneider
https://github.com/r-spatial/sf/pull/671,2018-03-14,documentation,for aggregate.sf,NA,NA,NA
https://github.com/ateucher/rmapshaper/issues/76,2018-04-14,NA,Inconsistent results with `sys=FALSE` and `sys=TRUE`.,18,open,Nowosad
https://github.com/r-spatial/sf/issues/704,2018-04-15,issue,sf seems to reset mfrow,2,closed,Robinlovelace
https://github.com/sjewo/cartogram/pull/9,2018-04-18,pr,sf performance improvements,NA,NA,NA
https://github.com/mtennekes/tmap/issues/186,2018-04-23,issue,The tmap_arrange example fails,0,open,Nowosad
https://github.com/mtennekes/tmap/issues/190,2018-04-25,issue,NAs in a facet map,0,open,Nowosad
https://github.com/mtennekes/tmap/issues/191,2018-04-29,issue,The output map with a raster layer has smaller margins.,0,open,Nowosad
https://github.com/jbaileyh/geogrid/pull/25,2018-04-30,pr,accepted to **geogrid** sf support by objects conversion,NA,NA,NA
https://github.com/mtennekes/tmap/issues/196,2018-05-11,issue,Line plot fails when in view mode,0,closed,Robinlovelace
https://github.com/mtennekes/tmap/issues/202,2018-05-20,issue,Possibility of saving the output of `tmap_arrange()` to a file,0,open,Nowosad
https://github.com/r-spatial/sf/issues/755,2018-05-25,issue,Problem with plotting `sf_POINT`,0,open,Nowosad
https://github.com/mtennekes/tmap/issues/204,2018-05-26,issue,Categorical raster plot,0,open,Nowosad
https://github.com/mtennekes/tmap/issues/206,2018-05-26,issue,How to create a tmap style?,0,open,Nowosad
https://github.com/mtennekes/tmap/issues/215,2018-06-09,issue,Plot of the GEOMETRY geometry type,0,open,Nowosad
https://github.com/mtennekes/tmap/issues/228,2018-07-10,issue,non-standard projections do not work,0,open,Nowosad
https://github.com/r-lib/pkgdown/issues/783,2018-08-13,issue,pkgdown consumed a huge amount (10+GB) of RAM on build_site(),5,open,Robinlovelace
https://github.com/jbaileyh/geogrid/pull/28,2018-09-02,pr,a set of improvemments to **geogrid**,NA,NA,NA
https://github.com/ateucher/rmapshaper/pull/80,2018-09-06,pr,rmapshaper units support,NA,NA,NA

